trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-204.39522183109966,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-251.2250887474743,"{0: 14, 1: 3, 2: 7, 3: 3, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-77.53561930248001,"{0: 20, 1: 6, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,15,-84.34806556937095,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-106.44438824077405,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-174.2906683123473,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-159.16863157050625,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,9,-74.05979762724901,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-80.83375866663859,"{0: 20, 1: 4, 2: 4, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-41.35608255781257,"{0: 19, 1: 3, 2: 1, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,2,-38.647103362883264,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-136.88010217243908,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-120.5525914118003,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-88.05848355774488,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,2,-26.704630878825427,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,9,1.8596227728058041,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,4,27.871236936860125,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,14.041601016630937,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,2,-40.53468780659888,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,0,-25.41965589422131,"{0: 32, 1: 0, 2: 1, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-26.903520117226442,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,11,2.642116394805052,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",35,0,-101.90134171977074,"{0: 28, 1: 1, 2: 3, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-31.910224637654828,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,13,-46.2646418639302,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,0,-57.63284916777698,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",30,0,-37.65027781467317,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-80.37475399859552,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-85.8653528402732,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-6.678048177587718,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
