trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 0.9980019986673331}",20,0,-116.02064507336787,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.002, 'e': 0.9960079893439915}",20,12,-60.187197206411646,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 1}",1
3,False,"{'a': 0.002, 'e': 0.9940179640539353}",25,0,-164.23766905425637,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
4,False,"{'a': 0.002, 'e': 0.9920319148370607}",20,0,-73.40101643139619,"{0: 9, 1: 8, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.002, 'e': 0.9900498337491681}",20,0,-198.96170338059903,"{0: 10, 1: 0, 2: 5, 3: 2, 4: 3}",0
6,False,"{'a': 0.002, 'e': 0.9880717128619305}",20,0,-76.75393781028633,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.002, 'e': 0.9860975442628619}",25,0,-71.64092124995398,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
8,False,"{'a': 0.002, 'e': 0.9841273200552851}",30,16,-61.50274170667532,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.002, 'e': 0.9821610323583008}",20,0,-87.77568307566565,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.002, 'e': 0.9801986733067553}",20,2,-132.85229977805952,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 3}",1
11,False,"{'a': 0.002, 'e': 0.97824023505121}",25,0,-145.8629226633768,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.002, 'e': 0.9762857097579093}",25,0,-199.87928245546973,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
13,False,"{'a': 0.002, 'e': 0.9743350896087494}",20,0,-76.54472290610809,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.002, 'e': 0.9723883668012469}",25,0,-111.08634819679388,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
