trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-238.03443495861706,"{0: 10, 1: 1, 2: 10, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-229.5255943694053,"{0: 10, 1: 2, 2: 9, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-197.69884142356597,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.46840753688784,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.82114824119543,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-181.08925825134426,"{0: 15, 1: 0, 2: 13, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.26052863993625,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.49461351700346,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-180.7963989947502,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-187.10749944964772,"{0: 23, 1: 2, 2: 6, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-187.11719038607973,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,7,-8.296490017755085,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.29503409444746,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.13224605078709,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.72440819016023,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-181.4695507844939,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,17,-42.18601074825696,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.75278550103405,"{0: 15, 1: 2, 2: 3, 3: 3, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.60961143685432,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-154.85829968622494,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-211.92928537265382,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-92.14366162740444,"{0: 18, 1: 5, 2: 5, 3: 2, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-170.83560191001678,"{0: 15, 1: 4, 2: 9, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-33.371525450102716,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-280.12095052940316,"{0: 9, 1: 4, 2: 5, 3: 3, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-194.44571673167079,"{0: 20, 1: 2, 2: 10, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-32.36654080543411,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-187.05974328095039,"{0: 9, 1: 4, 2: 8, 3: 3, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-144.21034854626964,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-69.92383377816651,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
